$\frac{\alpha}{18}\pi$,T_small,T_quad
$\frac{0}{18}\pi$,6.283185307179586,6.283185307179586
$\frac{1}{18}\pi$,6.295147605281553,6.295168523699072
$\frac{2}{18}\pi$,6.331034499587457,6.331371217353404
$\frac{3}{18}\pi$,6.3908459900972945,6.3925680084501595
$\frac{4}{18}\pi$,6.474582076811066,6.480103596496814
$\frac{5}{18}\pi$,6.582242759728775,6.595980873914125
$\frac{6}{18}\pi$,6.713828038850417,6.743001419250385
$\frac{7}{18}\pi$,6.869337914175994,6.924980702628232
$\frac{8}{18}\pi$,7.048772385705507,7.147076539540082
$\frac{9}{18}\pi$,7.252131453438956,7.416298709205488
$\frac{10}{18}\pi$,7.479415117376338,7.742324384018889
$\frac{11}{18}\pi$,7.730623377517656,8.138861248743162
$\frac{12}{18}\pi$,8.00575623386291,8.626062589998579
$\frac{13}{18}\pi$,8.304813686412096,9.235147192668716
$\frac{14}{18}\pi$,8.62779573516522,10.018200316006533
$\frac{15}{18}\pi$,8.97470238012228,11.072252581475077
$\frac{16}{18}\pi$,9.345533621283272,12.613541007551348
$\frac{17}{18}\pi$,9.740289458648201,15.326967999136583
